

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   01  V 22
/datum  49000.00
/ 047.8081818   107.5737490 
/UTC
/time nT sq 
223205.0  59151.88 95 
223208.0  59151.97 96 
223211.0  59151.97 96 
223214.0  59151.94 95 
223217.0  59151.92 96 
223220.0  59151.88 96 
223223.0  59151.88 95 
223226.0  59151.90 96 
223229.0  59151.89 96 
223232.0  59151.92 95 
223235.0  59151.85 96 
223238.0  59151.88 96 
223241.0  59151.78 95 
223244.0  59151.81 96 
223247.0  59151.81 96 
223250.0  59151.86 95 
223253.0  59151.89 96 
223256.0  59151.80 96 
223259.0  59151.88 95 
223302.0  59151.82 96 
223305.0  59151.80 96 
223308.0  59151.88 95 
223311.0  59151.87 96 
223314.0  59151.85 96 
223317.0  59151.87 95 
223320.0  59151.89 96 
223323.0  59151.87 96 
223326.0  59151.85 95 
223329.0  59151.78 96 
223332.0  59151.76 96 
223335.0  59151.85 95 
223338.0  59151.86 96 
223341.0  59151.87 96 
223344.0  59151.85 95 
223347.0  59151.82 96 
223350.0  59151.72 96 
223353.0  59151.75 95 
223356.0  59151.72 96 
223359.0  59151.80 96 
223402.0  59151.77 95 
223405.0  59151.80 96 
223408.0  59151.72 96 
223411.0  59151.73 95 
223414.0  59151.74 96 
223417.0  59151.77 96 
223420.0  59151.79 95 
223423.0  59151.81 96 
223426.0  59151.74 96 
223429.0  59151.71 95 
223432.0  59151.63 96 
223435.0  59151.68 96 
223438.0  59151.76 95 
223441.0  59151.72 96 
223444.0  59151.78 96 
223447.0  59151.78 95 
223450.0  59151.73 96 
223453.0  59151.74 96 
223456.0  59151.73 95 
223459.0  59151.69 96 
223502.0  59151.69 96 
223505.0  59151.69 75 
223508.0  59151.68 96 
223511.0  59151.66 96 
223514.0  59151.60 95 
223517.0  59151.67 96 
223520.0  59151.67 96 
223523.0  59151.65 95 
223526.0  59151.69 96 
223529.0  59151.64 96 
223532.0  59151.74 95 
223535.0  59151.67 96 
223538.0  59151.69 96 
223541.0  59151.73 95 
223544.0  59151.68 96 
223547.0  59151.67 96 
223550.0  59151.69 95 
223553.0  59151.73 96 
223556.0  59151.72 96 
223559.0  59151.67 95 
223602.0  59151.67 96 
223605.0  59151.69 96 
223608.0  59151.71 95 
223611.0  59151.75 96 
223614.0  59151.73 96 
223617.0  59151.71 95 
223620.0  59151.73 96 
223623.0  59151.68 96 
223626.0  59151.65 95 
223629.0  59151.75 96 
223632.0  59151.72 96 
223635.0  59151.72 95 
223638.0  59151.72 96 
223641.0  59151.65 96 
223644.0  59151.67 95 
223647.0  59151.63 96 
223650.0  59151.64 96 
223653.0  59151.76 95 
223656.0  59151.71 96 
223659.0  59151.73 96 
223702.0  59151.71 95 
223705.0  59151.71 96 
223708.0  59151.65 96 
223711.0  59151.63 95 
223714.0  59151.63 96 
223717.0  59151.65 96 
223720.0  59151.70 95 
223723.0  59151.69 96 
223726.0  59151.65 96 
223729.0  59151.68 95 
223732.0  59151.71 96 
223735.0  59151.69 96 
223738.0  59151.64 95 
223741.0  59151.65 96 
223744.0  59151.60 96 
223747.0  59151.64 95 
223750.0  59151.72 96 
223753.0  59151.74 96 
223756.0  59151.77 95 
223759.0  59151.74 96 
223802.0  59151.67 96 
223805.0  59151.74 95 
223808.0  59151.60 96 
223811.0  59151.59 96 
223814.0  59151.54 95 
223817.0  59151.64 96 
223820.0  59151.67 96 
223823.0  59151.70 95 
223826.0  59151.67 96 
223829.0  59151.64 96 
223832.0  59151.66 95 
223835.0  59151.59 96 
223838.0  59151.60 96 
223841.0  59151.60 95 
223844.0  59151.60 96 
223847.0  59151.62 96 
223850.0  59151.66 95 
223853.0  59151.69 96 
223856.0  59151.65 96 
223859.0  59151.66 95 
223902.0  59151.65 96 
223905.0  59151.58 96 
223908.0  59151.62 95 
223911.0  59151.59 96 
223914.0  59151.62 96 
223917.0  59151.64 95 
223920.0  59151.65 96 
223923.0  59151.67 96 
223926.0  59151.62 95 
223929.0  59151.67 96 
223932.0  59151.67 96 
223935.0  59151.68 95 
223938.0  59151.63 96 
223941.0  59151.58 96 
223944.0  59151.62 95 
223947.0  59151.61 96 
223950.0  59151.55 96 
223953.0  59151.62 95 
223956.0  59151.61 96 
223959.0  59151.63 96 
224002.0  59151.65 95 
224005.0  59151.69 96 
224008.0  59151.66 96 
224011.0  59151.69 95 
224014.0  59151.66 96 
224017.0  59151.69 96 
224020.0  59151.70 95 
224023.0  59151.70 96 
224026.0  59151.66 96 
224029.0  59151.74 95 
224032.0  59151.69 96 
224035.0  59151.67 96 
224038.0  59151.74 95 
224041.0  59151.72 96 
224044.0  59151.70 96 
224047.0  59151.74 95 
224050.0  59151.78 96 
224053.0  59151.78 96 
224056.0  59151.81 95 
224059.0  59151.82 96 
224102.0  59151.75 96 
224105.0  59151.76 95 
224108.0  59151.73 96 
224111.0  59151.76 96 
224114.0  59151.77 95 
224117.0  59151.77 96 
224120.0  59151.76 96 
224123.0  59151.81 95 
224126.0  59151.83 96 
224129.0  59151.86 96 
224132.0  59151.89 95 
224135.0  59151.86 96 
224138.0  59151.80 96 
224141.0  59151.79 95 
224144.0  59151.78 96 
224147.0  59151.87 96 
224150.0  59151.85 95 
224153.0  59151.87 96 
224156.0  59151.77 96 
224159.0  59151.75 95 
224202.0  59151.73 96 
224205.0  59151.76 96 
224208.0  59151.92 95 
224211.0  59151.93 96 
224214.0  59151.94 96 
224217.0  59151.90 95 
224220.0  59151.85 96 
224223.0  59151.87 96 
224226.0  59151.91 95 
224229.0  59151.95 96 
224232.0  59151.98 96 
224235.0  59151.93 85 
224238.0  59151.87 96 
224241.0  59151.86 96 
224244.0  59151.90 96 
224247.0  59151.91 96 
224250.0  59151.85 95 
224253.0  59151.87 96 
224256.0  59151.88 96 
224259.0  59151.89 95 
224302.0  59151.97 96 
224305.0  59151.91 97 
224308.0  59151.96 95 
224311.0  59151.93 96 
224314.0  59151.93 96 
224317.0  59152.00 95 
224320.0  59152.01 96 
224323.0  59152.05 96 
224326.0  59152.02 95 
224329.0  59151.96 96 
224332.0  59151.98 96 
224335.0  59152.01 95 
224338.0  59152.04 96 
224341.0  59152.02 96 
224344.0  59152.09 95 
224347.0  59151.93 96 
224350.0  59151.93 96 
224353.0  59151.88 96 
224356.0  59151.94 96 
224359.0  59152.02 96 
224402.0  59152.08 95 
224405.0  59152.00 96 
224408.0  59151.99 96 
224411.0  59151.99 95 
224414.0  59151.99 96 
224417.0  59152.02 96 
224420.0  59152.04 95 
224423.0  59151.99 96 
224426.0  59152.01 96 
224429.0  59152.05 95 
224432.0  59152.11 96 
224435.0  59152.15 96 
224438.0  59152.16 95 
224441.0  59152.12 96 
224444.0  59152.08 96 
224447.0  59152.13 95 
224450.0  59152.08 96 
224453.0  59152.09 96 
224456.0  59152.04 75 
224459.0  59152.04 95 
224502.0  59152.05 96 
224505.0  59152.06 95 
224508.0  59152.17 96 
224511.0  59152.14 95 
224514.0  59152.07 96 
224517.0  59151.98 96 
224520.0  59152.07 95 
224523.0  59152.06 96 
224526.0  59152.04 96 
224529.0  59152.11 95 
224532.0  59152.07 96 
224535.0  59152.10 96 
224538.0  59152.07 96 
224541.0  59152.09 96 
224544.0  59152.12 96 
224547.0  59152.10 95 
224550.0  59152.03 96 
224553.0  59152.08 96 
224556.0  59152.08 95 
224559.0  59152.09 96 
224602.0  59152.08 96 
224605.0  59152.26 95 
224608.0  59152.11 96 
224611.0  59152.10 96 
224614.0  59152.12 96 
224617.0  59152.12 96 
224620.0  59152.11 96 
224623.0  59152.27 95 
224626.0  59152.21 96 
224629.0  59152.20 96 
224632.0  59152.18 95 
224635.0  59152.14 96 
224638.0  59152.11 96 
224641.0  59152.17 95 
224644.0  59152.11 96 
224647.0  59152.14 96 
224650.0  59152.11 96 
224653.0  59152.14 95 
224656.0  59152.15 96 
224659.0  59152.24 96 
224702.0  59152.26 95 
224705.0  59152.22 96 
224708.0  59152.19 96 
224711.0  59152.11 95 
224714.0  59152.08 96 
224717.0  59152.12 96 
224720.0  59152.14 95 
224723.0  59152.17 96 
224726.0  59152.19 96 
224729.0  59152.20 95 
224732.0  59152.15 96 
224735.0  59152.10 96 
224738.0  59152.20 95 
224741.0  59152.17 96 
224744.0  59152.20 96 
224747.0  59152.26 95 
224750.0  59152.20 96 
224753.0  59152.14 96 
224756.0  59152.14 95 
224759.0  59152.24 96 
224802.0  59152.28 96 
224805.0  59152.29 95 
224808.0  59152.17 96 
224811.0  59152.12 96 
224814.0  59152.12 95 
224817.0  59152.11 96 
224820.0  59152.16 96 
224823.0  59152.19 95 
224826.0  59152.21 96 
224829.0  59152.26 96 
224832.0  59152.21 96 
224835.0  59152.16 96 
224838.0  59152.17 96 
224841.0  59152.22 95 
224844.0  59152.20 96 
224847.0  59152.22 96 
224850.0  59152.24 95 
224853.0  59152.20 96 
224856.0  59152.23 96 
224859.0  59152.31 95 
224902.0  59152.21 96 
224905.0  59152.15 96 
224908.0  59152.19 95 
224911.0  59152.20 96 
224914.0  59152.27 96 
224917.0  59152.36 95 
224920.0  59152.32 96 
224923.0  59152.23 96 
224926.0  59152.21 96 
224929.0  59152.10 96 
224932.0  59152.14 96 
224935.0  59152.23 95 
224938.0  59152.26 96 
224941.0  59152.31 96 
224944.0  59152.32 95 
224947.0  59152.29 96 
224950.0  59152.26 96 
224953.0  59152.23 95 
224956.0  59152.15 96 
224959.0  59152.14 96 
225002.0  59152.19 95 
225005.0  59152.21 96 
225008.0  59152.15 96 
225011.0  59152.21 96 
225014.0  59152.17 96 
225017.0  59152.23 96 
225020.0  59152.21 96 
225023.0  59152.19 96 
225026.0  59152.12 96 
225029.0  59152.17 95 
225032.0  59152.15 96 
225035.0  59152.16 96 
225038.0  59152.22 96 
225041.0  59152.13 96 
225044.0  59152.16 96 
225047.0  59152.28 96 
225050.0  59152.25 96 
225053.0  59152.28 96 
225056.0  59152.25 95 
225059.0  59152.19 96 
225102.0  59152.17 95 
225105.0  59152.17 96 
225108.0  59152.18 96 
225111.0  59152.19 96 
225114.0  59152.17 96 
225117.0  59152.11 96 
225120.0  59152.17 95 
225123.0  59152.13 96 
225126.0  59152.09 96 
225129.0  59152.22 95 
225132.0  59152.19 96 
225135.0  59152.21 96 
225138.0  59152.22 95 
225141.0  59152.21 96 
225144.0  59152.20 96 
225147.0  59152.15 95 
225150.0  59152.13 96 
225153.0  59152.10 96 
225156.0  59152.14 95 
225159.0  59152.18 96 
225202.0  59152.18 96 
225205.0  59152.23 95 
225208.0  59152.14 96 
225211.0  59152.11 96 
225214.0  59152.10 95 
225217.0  59152.11 96 
225220.0  59152.21 96 
225223.0  59152.26 96 
225226.0  59152.19 96 
225229.0  59152.15 96 
225232.0  59152.17 96 
225235.0  59152.08 96 
225238.0  59152.09 96 
225241.0  59152.17 96 
225244.0  59152.12 96 
